distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage
100.0,False,10000,bb84-decoy,BB84DecoyProtocol,5,0,0.0,74957.836219,0.0,0.0,0.52182375,0,3,2,0.0007660487,0.0,0.0,0.0,0.0,0.0,0,1,20.0,0.01,ZERO_KEY,0.0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
0.0,False,10000,bb84-decoy,BB84DecoyProtocol,240,0,0.0,7100768.934142,0.0,0.0,0.01525281,0,106,134,0.0340115396,0.0055077453,0.0,0.0,0.0,0.0,0,24,0.0,1.0,ZERO_KEY,0.0146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
150.0,False,10000,bb84-decoy,BB84DecoyProtocol,1,0,0.0,7499.578149,0.0,0.0,0.975,0,0,1,0.0001523926,0.0,0.0,0.0,0.0,0.0,0,1,30.0,0.001,ZERO_KEY,0.0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
50.0,False,10000,bb84-decoy,BB84DecoyProtocol,24,0,0.0,745804.867286,0.0,0.0,0.1424736,0,10,14,0.0034410533,0.0003531073,0.0,0.0,0.0,0.0,0,2,10.0,0.1,ZERO_KEY,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
100.0,False,100000,bb84-decoy,BB84DecoyProtocol,31,0,0.0,74957.836219,0.0,0.0,0.11218875,0,19,12,0.0004252024,0.0001029371,0.0,0.0,0.0,0.0,0,3,20.0,0.01,ZERO_KEY,0.0565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
50.0,False,100000,bb84-decoy,BB84DecoyProtocol,255,0,0.0,745804.867286,0.0,0.0,0.01436206,0,120,135,0.0035650353,0.0006900359,0.0,0.0,0.0,0.0,0,26,10.0,0.1,ZERO_KEY,0.0575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
0.0,True,10000,bb84-decoy,BB84DecoyProtocol,273,0,0.0,7100768.934142,0.01465201,0.0,0.03708798,4,142,131,0.0400122175,0.0037761758,0.0,0.01526718,0.0,0.0,1,27,0.0,1.0,ZERO_KEY,0.0064,0,0,0,0,0,0,1,0,0,0,0,0,51,27,27,1,295,1,0,0,0,0,0,5,0,1,549,0,False,False,0,"{""afterpulse_total_count"": 1, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
50.0,True,10000,bb84-decoy,BB84DecoyProtocol,23,0,0.0,745804.867286,0.04347826,0.0,0.21948661,1,11,12,0.0033603177,0.0003423485,0.0,0.04545455,0.0,0.0,1,2,10.0,0.1,ZERO_KEY,0.0101,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,0,22,0,0,0,0,0,0,0,0,1,55,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
100.0,True,10000,bb84-decoy,BB84DecoyProtocol,3,0,0.0,74957.836219,0.0,0.0,0.70759823,0,1,2,0.000446761,0.0,0.0,0.0,0.0,0.0,1,1,20.0,0.01,ZERO_KEY,0.0046,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,1,7,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
150.0,False,100000,bb84-decoy,BB84DecoyProtocol,1,0,0.0,7499.578149,0.0,0.0,0.975,0,0,1,1.51579e-05,0.0,0.0,0.0,0.0,0.0,0,1,30.0,0.001,ZERO_KEY,0.0765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
