distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,sweep_detector_det_eff_d0
130.0,False,1000000,bb84-decoy,BB84DecoyProtocol,229,0,0.0,100399.799399,0.0,0.0,0.01597959,0,124,105,0.0002787103,5.0031e-05,1.00052e-05,0.0,0.0,0.0,0,23,26.0,0.002511886432,ZERO_KEY,1.1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
120.0,False,1000000,bb84-decoy,BB84DecoyProtocol,377,0,0.0,159052.907952,0.0,0.0,0.00973711,0,180,197,0.0004586388,0.0001001161,0.0,0.0,0.0,0.0,0,38,24.0,0.003981071706,ZERO_KEY,1.1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
140.0,False,1000000,bb84-decoy,BB84DecoyProtocol,156,0,0.0,63365.599387,0.0,0.0,0.02336927,0,84,72,0.0001912899,3.0009e-05,0.0,0.0,0.0,0.0,0,16,28.0,0.001584893192,ZERO_KEY,1.1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
150.0,False,1000000,bb84-decoy,BB84DecoyProtocol,89,0,0.0,39988.003599,0.0,0.0,0.04060086,0,43,46,0.0001050009,4.9953e-05,0.0,0.0,0.0,0.0,0,9,30.0,0.001,ZERO_KEY,1.1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
110.0,False,1000000,bb84-decoy,BB84DecoyProtocol,594,0,0.0,251906.112011,0.0,0.0,0.00619099,0,301,293,0.0007208833,0.0001603656,1.00179e-05,0.0,0.0,0.0,0,59,22.0,0.006309573445,ZERO_KEY,1.1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
100.0,False,1000000,bb84-decoy,BB84DecoyProtocol,939,0,0.0,398803.590823,0.0,0.0,0.00392081,0,465,474,0.0011506042,0.00018099,0.0,0.0,0.0,0.0,0,94,20.0,0.01,ZERO_KEY,1.3638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
50.0,False,1000000,bb84-decoy,BB84DecoyProtocol,9581,880,0.00088,3883510.226736,0.0,0.0,0.00038495,0,4853,4728,0.0117108987,0.0020742938,4.99087e-05,0.0,0.0,0.4,0,958,10.0,0.1,OK,1.4849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19189,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
90.0,False,1000000,bb84-decoy,BB84DecoyProtocol,1561,0,0.0,630957.287304,0.0,0.0,0.00236036,0,762,799,0.0018979007,0.0004090918,1.00583e-05,0.0,0.0,0.0,0,156,18.0,0.015848931925,ZERO_KEY,1.5088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3104,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
40.0,False,1000000,bb84-decoy,BB84DecoyProtocol,14978,2133,0.002133,6051919.73797,0.0,0.0,0.00024626,0,7418,7560,0.0182266957,0.0036727178,0.0001210825,0.0,0.0,0.5,0,1498,8.0,0.158489319246,OK,1.5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29856,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
30.0,False,1000000,bb84-decoy,BB84DecoyProtocol,23528,3818,0.003818,9344005.374068,0.0,0.0,0.00015677,0,11797,11731,0.02864652,0.0058154613,0.0002309631,0.0,0.0,0.47826087,0,2353,6.0,0.251188643151,OK,1.7224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47308,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
20.0,False,1000000,bb84-decoy,BB84DecoyProtocol,36200,7040,0.00704,14228526.587909,0.0,0.0,0.0001019,0,18037,18163,0.0440310236,0.009553981,0.0002895367,0.0,0.0,0.51724138,0,3620,4.0,0.398107170553,OK,2.4073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72314,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.8,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.8
