distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,sweep_detector_det_eff_d0
70.0,False,10000000,bb84-decoy,BB84DecoyProtocol,10176,1025,0.0001025,198756.860882,0.00049135,0.00012891,0.00085379,5,5082,5094,0.0012365053,0.0002715624,1.00032e-05,0.0,0.0,0.5,0,1018,14.0,0.039810717055,OK,53.8687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20375,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
60.0,False,10000000,bb84-decoy,BB84DecoyProtocol,15914,2403,0.0002403,314733.983913,0.00031419,8.241e-05,0.00054596,5,7995,7919,0.0019376491,0.000405686,1.09847e-05,0.0,0.0,0.45454545,0,1591,12.0,0.063095734448,OK,54.9563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32284,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
20.0,False,10000000,bb84-decoy,BB84DecoyProtocol,100695,23526,0.0023526,1961257.174125,0.00039724,0.00036061,0.00043387,40,50509,50186,0.0122630003,0.0024789241,7.91134e-05,0.0,0.0,0.50632911,0,10070,4.0,0.398107170553,OK,54.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202174,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
10.0,False,10000000,bb84-decoy,BB84DecoyProtocol,158703,39784,0.0039784,3081872.882826,0.00035916,0.00033592,0.00038241,57,79485,79218,0.0193272469,0.0039438891,0.0001151118,0.0,0.0,0.49565217,0,15870,2.0,0.63095734448,OK,56.2118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317573,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
30.0,False,10000000,bb84-decoy,BB84DecoyProtocol,64380,12662,0.0012662,1244223.316069,0.00035725,0.00029996,0.00041455,23,32106,32274,0.0078485954,0.0015452282,4.59468e-05,0.0,0.0,0.5,0,6438,6.0,0.251188643151,OK,56.3873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128013,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
40.0,False,10000000,bb84-decoy,BB84DecoyProtocol,40729,7578,0.0007578,787764.660056,0.0005156,0.00042504,0.00060617,21,20350,20379,0.0049614635,0.0009931859,4.29685e-05,0.0,0.0,0.48837209,0,4073,8.0,0.158489319246,OK,56.9376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81138,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
50.0,False,10000000,bb84-decoy,BB84DecoyProtocol,25557,3725,0.0003725,498132.008858,0.00035215,0.00020783,0.00049648,9,12860,12697,0.0031146391,0.0006173723,1.90123e-05,0.0,0.0,0.47368421,0,2556,10.0,0.1,OK,58.7815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51224,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
0.0,False,10000000,bb84-decoy,BB84DecoyProtocol,247569,60888,0.0060888,4819313.396138,0.00041605,0.00040115,0.00043095,103,123907,123662,0.0301523291,0.0061293582,0.0002071674,0.0,0.0,0.49758454,0,24757,0.0,1.0,OK,59.7933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495465,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
80.0,False,10000000,bb84-decoy,BB84DecoyProtocol,6425,0,0.0,125476.128422,0.00031128,0.0,0.00088526,2,3200,3225,0.0007859076,0.0001313549,4.0031e-06,0.0,0.0,0.5,0,642,16.0,0.025118864315,ZERO_KEY,7.0685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12880,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
100.0,False,10000000,bb84-decoy,BB84DecoyProtocol,2549,0,0.0,49981.257029,0.0,0.0,0.00144614,0,1287,1262,0.0003113524,5.80546e-05,0.0,0.0,0.0,0.0,0,255,20.0,0.01,ZERO_KEY,7.0883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5127,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
