distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,sweep_source_intended_proof
140.0,False,10000000,bb84-decoy,BB84DecoyProtocol,383,0,0.0,11885.639336,0.0,0.0,0.0095853,0,190,193,5.90049e-05,1.44952e-05,0.0,0.0,0.0,0.0,0,38,28.0,0.001584893192,ZERO_KEY,6.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
150.0,False,10000000,bb84-decoy,BB84DecoyProtocol,251,0,0.0,7499.578149,0.0,0.0,0.01458926,0,119,132,3.80103e-05,1.14949e-05,0.0,0.0,0.0,0.0,0,25,30.0,0.001,ZERO_KEY,6.0123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
100.0,False,10000000,bb84-decoy,BB84DecoyProtocol,2385,0,0.0,74957.836219,0.0,0.0,0.0015455,0,1196,1189,0.0003727257,7.44431e-05,0.0,0.0,0.0,0.0,0,238,20.0,0.01,ZERO_KEY,6.9679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4808,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
110.0,False,10000000,bb84-decoy,BB84DecoyProtocol,1514,0,0.0,47305.011649,0.0,0.0,0.00243355,0,770,744,0.0002350265,5.19514e-05,0.0,0.0,0.0,0.0,0,151,22.0,0.006309573445,ZERO_KEY,6.4285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
80.0,False,10000000,bb84-decoy,BB84DecoyProtocol,6028,112,1.12e-05,188125.672884,0.0,0.0,0.00061177,0,2966,3062,0.0009427361,0.0001836264,0.0,0.0,0.0,0.0,0,603,16.0,0.025118864315,OK,7.3339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12065,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
90.0,False,10000000,bb84-decoy,BB84DecoyProtocol,3891,0,0.0,118761.113627,0.0,0.0,0.00094761,0,1996,1895,0.0006066969,0.0001255176,0.0,0.0,0.0,0.0,0,389,18.0,0.015848931925,ZERO_KEY,6.6292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7598,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
0.0,False,10000000,bb84-decoy,BB84DecoyProtocol,231483,66821,0.0066821,7100768.934142,0.0,0.0,1.594e-05,0,115424,116059,0.0360959882,0.007448135,0.0,0.0,0.0,0.0,0,23148,0.0,1.0,OK,7.7486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462274,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
10.0,False,10000000,bb84-decoy,BB84DecoyProtocol,147417,40609,0.0040609,4570014.367521,0.0,0.0,2.502e-05,0,73692,73725,0.0229978461,0.0047080001,0.0,0.0,0.0,0.0,0,14742,2.0,0.63095734448,OK,6.6366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295829,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
120.0,False,10000000,bb84-decoy,BB84DecoyProtocol,974,0,0.0,29851.35302,0.0,0.0,0.00378019,0,477,497,0.0001504624,3.55161e-05,0.0,0.0,0.0,0.0,0,97,24.0,0.003981071706,ZERO_KEY,7.7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
130.0,False,10000000,bb84-decoy,BB84DecoyProtocol,563,0,0.0,18836.486761,0.0,0.0,0.00653077,0,286,277,8.74977e-05,1.90041e-05,0.0,0.0,0.0,0.0,0,56,26.0,0.002511886432,ZERO_KEY,8.1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
