distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,params_wdm_channel_count,params_wdm_channel_power_dbm,params_wdm_raman_coefficient,params_filter_model,params_filter_awg_loss_db,params_channel_total_loss_db,params_raman_dark_rate_hz
140.0,False,10000,bb84-decoy,BB84DecoyProtocol,0,0,0.0,11885.639336,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,0.001584893192,ZERO_KEY,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,28.0,0.0
150.0,False,10000,bb84-decoy,BB84DecoyProtocol,0,0,0.0,7499.578149,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30.0,0.001,ZERO_KEY,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,30.0,0.0
40.0,False,10000,bb84-decoy,BB84DecoyProtocol,34,0,0.0,1178166.633955,0.0,0.0,0.10281792,0,16,18,0.005159787,0.0015143867,0.0,0.0,0.0,0.0,0,3,8.0,0.158489319246,ZERO_KEY,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,8.0,0.0
50.0,False,10000,bb84-decoy,BB84DecoyProtocol,14,0,0.0,745804.867286,0.0,0.0,0.23163576,0,8,6,0.002337619,0.0,0.0,0.0,0.0,0.0,0,1,10.0,0.1,ZERO_KEY,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,10.0,0.0
20.0,False,10000,bb84-decoy,BB84DecoyProtocol,87,0,0.0,2920410.345794,0.0,0.0,0.04151457,0,46,41,0.013586045,0.0030075188,0.0,0.0,0.0,0.0,0,9,4.0,0.398107170553,ZERO_KEY,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,4.0,0.0
30.0,False,10000,bb84-decoy,BB84DecoyProtocol,66,0,0.0,1857667.938681,0.0,0.0,0.05435885,0,33,33,0.0097217566,0.0040609137,0.0,0.0,0.0,0.0,0,7,6.0,0.251188643151,ZERO_KEY,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,6.0,0.0
0.0,False,10000,bb84-decoy,BB84DecoyProtocol,228,0,0.0,7100768.934142,0.0,0.0,0.01604911,0,100,128,0.036937542,0.0039370079,0.0,0.0,0.0,0.0,0,23,0.0,1.0,ZERO_KEY,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,0.0,0.0
10.0,False,10000,bb84-decoy,BB84DecoyProtocol,159,0,0.0,4570014.367521,0.0,0.0,0.02293344,0,84,75,0.0246710526,0.0044977511,0.0,0.0,0.0,0.0,0,16,2.0,0.63095734448,ZERO_KEY,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,2.0,0.0
100.0,False,10000,bb84-decoy,BB84DecoyProtocol,3,0,0.0,74957.836219,0.0,0.0,0.70759823,0,2,1,0.0005003336,0.0,0.0,0.0,0.0,0.0,0,1,20.0,0.01,ZERO_KEY,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,20.0,0.0
110.0,False,10000,bb84-decoy,BB84DecoyProtocol,2,0,0.0,47305.011649,0.0,0.0,0.84188612,0,2,0,0.000334616,0.0,0.0,0.0,0.0,0.0,0,1,22.0,0.006309573445,ZERO_KEY,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,22.0,0.0
