distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,params_wdm_channel_count,params_wdm_channel_power_dbm,params_wdm_raman_coefficient,params_filter_model,params_filter_awg_loss_db,params_awg_isolation_db,params_channel_total_loss_db,params_raman_dark_rate_hz
20.0,False,10000,bb84-decoy,BB84DecoyProtocol,43,0,0.0,1479838.302186,0.0,0.0,0.08221112,0,20,23,0.0063737001,0.0025062657,0.0,0.0,0.0,0.0,0,4,7.0,0.199526231497,ZERO_KEY,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-27.0,1e-09,awg,3.0,25.0,7.0,289.56086537427717
10.0,False,10000,bb84-decoy,BB84DecoyProtocol,72,0,0.0,2330259.962348,0.0,0.0,0.04994408,0,37,35,0.0108552632,0.0029985007,0.0,0.0,0.0,0.0,0,7,5.0,0.316227766017,ZERO_KEY,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-29.0,1e-09,awg,3.0,25.0,5.0,112.02056634159574
40.0,False,10000,bb84-decoy,BB84DecoyProtocol,22,0,0.0,593096.173053,0.0,0.0,0.15437251,0,16,6,0.0033288948,0.0010095911,0.0,0.0,0.0,0.0,0,2,11.0,0.079432823472,ZERO_KEY,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-23.0,1e-09,awg,3.0,25.0,11.0,1016.9031476150267
50.0,False,10000,bb84-decoy,BB84DecoyProtocol,8,0,0.0,374833.703463,0.0,0.0,0.36941665,0,6,2,0.0013357823,0.0,0.0,0.0,0.0,0.0,0,1,13.0,0.050118723363,ZERO_KEY,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-21.0,1e-09,awg,3.0,25.0,13.0,1723.7021064838957
70.0,False,10000,bb84-decoy,BB84DecoyProtocol,10,0,0.0,149476.910478,0.0,0.0,0.30849711,0,5,5,0.0014898196,0.0005170631,0.0,0.0,0.0,0.0,0,1,17.0,0.01995262315,ZERO_KEY,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-17.0,1e-09,awg,3.0,25.0,17.0,4619.300482162286
0.0,False,10000,bb84-decoy,BB84DecoyProtocol,122,0,0.0,3655851.421332,0.0,0.0,0.02978416,0,60,62,0.0201477502,0.000984252,0.0,0.0,0.0,0.0,0,12,3.0,0.501187233627,ZERO_KEY,0.0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-31.0,1e-09,awg,3.0,25.0,0.0,0.0
60.0,False,10000,bb84-decoy,BB84DecoyProtocol,13,0,0.0,236749.698801,0.0,0.0,0.24705264,0,7,6,0.002190027,0.0,0.0,0.0,0.0,0.0,0,1,15.0,0.031622776602,ZERO_KEY,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-19.0,1e-09,awg,3.0,25.0,15.0,2843.9026308600014
30.0,False,10000,bb84-decoy,BB84DecoyProtocol,33,0,0.0,937554.855239,0.0,0.0,0.10576281,0,13,20,0.0050284948,0.0015228426,0.0,0.0,0.0,0.0,0,3,9.0,0.125892541179,ZERO_KEY,0.0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-25.0,1e-09,awg,3.0,25.0,9.0,570.9429427219285
90.0,False,10000,bb84-decoy,BB84DecoyProtocol,3,0,0.0,59548.01098,0.0,0.0,0.70759823,0,2,1,0.0004938272,0.0,0.0,0.0,0.0,0.0,0,1,21.0,0.007943282347,ZERO_KEY,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-13.0,1e-09,awg,3.0,25.0,21.0,11892.713026566676
100.0,False,10000,bb84-decoy,BB84DecoyProtocol,2,0,0.0,37578.448488,0.0,0.0,0.84188612,0,2,0,0.0003335557,0.0,0.0,0.0,0.0,0.0,0,1,23.0,0.005011872336,ZERO_KEY,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-11.0,1e-09,awg,3.0,25.0,23.0,18960.697476276808
