distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,params_wdm_channel_count,params_wdm_channel_power_dbm,params_wdm_raman_coefficient,params_filter_model,params_filter_awg_loss_db,params_awg_isolation_db,params_channel_total_loss_db,params_raman_dark_rate_hz,sweep_detector_double_click_policy
57.14,False,10000000,bb84-decoy,BB84DecoyProtocol,22581,0,0.0,2645280.969487,0.02324963,0.02119951,0.02529976,525,11311,11270,0.0034671556,0.0007850366,0.0001000624,0.01455891,0.0720204,0.545,0,2258,11.42857143,0.0719685673,ZERO_KEY,10.3557,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,1,1,1,0,0,0,44991,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,11.42857142857143,0.0,RANDOM
68.57,False,10000000,bb84-decoy,BB84DecoyProtocol,13172,0,0.0,1575579.251494,0.02209232,0.0194361,0.02474854,291,6598,6574,0.0020242864,0.0004530217,6.04346e-05,0.01374938,0.07624309,0.45454545,0,1317,13.71428571,0.042517863034,ZERO_KEY,10.6302,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,4,4,4,0,0,0,26603,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,13.714285714285715,0.0,RANDOM
11.43,False,10000000,bb84-decoy,BB84DecoyProtocol,180476,13270,0.001327,19008775.033002,0.02237971,0.0216868,0.02307262,4039,89975,90501,0.0276938758,0.0063061514,0.0008421105,0.01462924,0.06442666,0.47237077,0,18048,2.28571429,0.590783791159,OK,11.16,284,153,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16391,278,278,278,0,0,0,360358,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,2.285714285714286,0.0,RANDOM
22.86,False,10000000,bb84-decoy,BB84DecoyProtocol,107741,4258,0.0004258,11920014.824768,0.02311098,0.0221962,0.02402576,2490,53921,53820,0.0165034731,0.00383424,0.0004992531,0.01497825,0.06756228,0.48946841,0,10774,4.57142857,0.349025487896,OK,11.2747,106,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9817,109,109,109,0,0,0,215932,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,4.571428571428572,0.0,RANDOM
45.71,False,10000000,bb84-decoy,BB84DecoyProtocol,37502,0,0.0,4416901.171454,0.02234547,0.0207987,0.02389225,838,18667,18835,0.0057563039,0.0013174025,0.0001620374,0.0144164,0.06985573,0.48148148,0,3750,9.14285714,0.121818791201,ZERO_KEY,11.6842,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3334,14,14,14,0,0,0,75170,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,9.142857142857144,0.0,RANDOM
34.29,False,10000000,bb84-decoy,BB84DecoyProtocol,64226,0,0.0,7308797.006564,0.02187588,0.02071496,0.02303679,1405,32201,32025,0.0098618942,0.0022517083,0.000273539,0.01443153,0.06506773,0.47166362,0,6423,6.85714286,0.20619860095,ZERO_KEY,12.6128,24,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5723,36,36,36,0,0,0,127958,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,6.857142857142858,0.0,RANDOM
80.0,False,10000000,bb84-decoy,BB84DecoyProtocol,7973,0,0.0,935349.515112,0.01918977,0.01593388,0.02244565,153,3903,4070,0.001229512,0.0002683894,2.85341e-05,0.01260333,0.06703911,0.42105263,0,797,16.0,0.025118864315,ZERO_KEY,12.7775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,15817,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,16.0,0.0,RANDOM
0.0,False,10000000,bb84-decoy,BB84DecoyProtocol,301488,29588,0.0029588,29341482.042931,0.02258796,0.02205131,0.02312462,6810,150302,151186,0.0462286837,0.0106099801,0.0014412717,0.01448889,0.066208,0.48091603,0,30149,0.0,1.0,OK,13.1928,773,383,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27248,813,813,813,0,0,0,602860,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,0.0,0.0,RANDOM
0.0,True,10000000,bb84-decoy,BB84DecoyProtocol,300085,20131,0.0020131,29341482.042931,0.03264408,0.03200209,0.03328608,9796,150118,149967,0.0459246191,0.0107644113,0.0014024438,0.02455298,0.07446314,0.50821429,1,30008,0.0,1.0,OK,6.5857,1323,684,639,0,0,0,1,0,0,0,0,0,8044,4024,4024,0,300439,0,1,27434,777,777,777,4437,0,1,601245,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,0.0,0.0,RANDOM
11.43,True,10000000,bb84-decoy,BB84DecoyProtocol,180733,5299,0.0005299,19008775.033002,0.0315991,0.0307823,0.0324159,5711,90588,90145,0.0277673837,0.0062628768,0.0008062666,0.02400418,0.07106356,0.50960942,1,18073,2.28571429,0.590783791159,OK,6.6231,443,220,223,0,0,0,1,0,0,0,0,0,4796,2375,2375,0,180858,0,0,16105,280,280,280,1632,0,1,361669,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,2.285714285714286,0.0,RANDOM
