distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,params_wdm_channel_count,params_wdm_channel_power_dbm,params_wdm_raman_coefficient,params_filter_model,params_filter_awg_loss_db,params_awg_isolation_db,params_channel_total_loss_db,params_raman_dark_rate_hz,sweep_detector_qber_intrinsic,sweep_detector_misalignment
135.0,False,10000000,bb84-decoy,BB84DecoyProtocol,488,0,0.0,14962.788036,0.0,0.0,0.00753068,0,248,240,7.71705e-05,1.25018e-05,0.0,0.0,0.0,0.0,0,49,27.0,0.001995262315,ZERO_KEY,6.0753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,27.0,0.0,0.005,0.002
150.0,False,10000000,bb84-decoy,BB84DecoyProtocol,239,0,0.0,7499.578149,0.0,0.0,0.01531614,0,113,126,3.66725e-05,9.4927e-06,0.0,0.0,0.0,0.0,0,24,30.0,0.001,ZERO_KEY,5.9753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,30.0,0.0,0.005,0.002
0.0,True,10000000,bb84-decoy,BB84DecoyProtocol,231520,45481,0.0045481,7100768.934142,0.00751987,0.00715957,0.00788017,1741,115822,115698,0.036103407,0.0074275478,2.75164e-05,0.00735932,0.00786872,0.54545455,1,23152,0.0,1.0,OK,6.641,243,118,125,0,0,0,1,0,0,0,0,0,22238,11214,11214,339,232054,464,0,0,0,0,0,2698,0,1,464363,0,False,False,0,"{""afterpulse_total_count"": 464, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,0.0,0.0,0.005,0.002
105.0,True,10000000,bb84-decoy,BB84DecoyProtocol,1952,0,0.0,59548.01098,0.00870902,0.00351056,0.01390747,17,974,978,0.0003066059,5.60066e-05,0.0,0.00923913,0.0,0.0,1,195,21.0,0.007943282347,ZERO_KEY,6.096,0,0,0,0,0,0,1,0,0,0,0,0,181,106,106,2,1933,4,0,0,0,0,0,0,0,1,3899,0,False,False,0,"{""afterpulse_total_count"": 4, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,21.0,0.0,0.005,0.002
120.0,True,10000000,bb84-decoy,BB84DecoyProtocol,969,0,0.0,29851.35302,0.00619195,0.0,0.01342823,6,502,467,0.000152034,2.85096e-05,0.0,0.00657895,0.0,0.0,1,97,24.0,0.003981071706,ZERO_KEY,6.6408,0,0,0,0,0,0,1,0,0,0,0,0,96,54,54,0,942,0,0,0,0,0,0,0,0,1,1917,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,24.0,0.0,0.005,0.002
135.0,True,10000000,bb84-decoy,BB84DecoyProtocol,469,0,0.0,14962.788036,0.01279318,0.0,0.02763624,6,225,244,7.33394e-05,1.44942e-05,0.0,0.01363636,0.0,0.0,1,47,27.0,0.001995262315,ZERO_KEY,6.4023,0,0,0,0,0,0,1,0,0,0,0,0,55,33,33,1,486,2,0,0,0,0,0,0,0,1,958,0,False,False,0,"{""afterpulse_total_count"": 2, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,27.0,0.0,0.005,0.002
60.0,True,10000000,bb84-decoy,BB84DecoyProtocol,15080,302,3.02e-05,471544.43659,0.008687,0.00707402,0.01029998,131,7476,7604,0.0023539728,0.0004762895,3.4987e-06,0.00842776,0.00944386,0.42857143,1,1508,12.0,0.063095734448,OK,7.4252,1,0,1,0,0,0,1,0,0,0,0,0,1433,719,719,15,15187,23,0,0,0,0,0,16,0,1,30216,0,False,False,0,"{""afterpulse_total_count"": 23, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,12.0,0.0,0.005,0.002
75.0,True,10000000,bb84-decoy,BB84DecoyProtocol,7650,0,0.0,236749.698801,0.00745098,0.00525899,0.00964297,57,3760,3890,0.0011911996,0.0002516434,0.0,0.00713586,0.01192843,0.0,1,765,15.0,0.031622776602,ZERO_KEY,6.0614,1,1,0,0,0,0,1,0,0,0,0,0,718,358,358,4,7623,6,0,0,0,0,0,4,0,1,15229,0,False,False,0,"{""afterpulse_total_count"": 6, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,15.0,0.0,0.005,0.002
90.0,True,10000000,bb84-decoy,BB84DecoyProtocol,3895,0,0.0,118761.113627,0.00616175,0.00316909,0.0091544,24,1974,1921,0.0006093871,0.0001194584,0.0,0.00656455,0.0,0.0,1,390,18.0,0.015848931925,ZERO_KEY,5.9663,0,0,0,0,0,0,1,0,0,0,0,0,387,201,201,2,3845,4,0,0,0,0,0,1,0,1,7689,0,False,False,0,"{""afterpulse_total_count"": 4, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,18.0,0.0,0.005,0.002
150.0,True,10000000,bb84-decoy,BB84DecoyProtocol,232,0,0.0,7499.578149,0.00862069,0.0,0.03079221,2,120,112,3.58303e-05,8.4928e-06,0.0,0.00930233,0.0,0.0,1,23,30.0,0.001,ZERO_KEY,6.4981,0,0,0,0,0,0,1,0,0,0,0,0,20,12,12,0,234,0,0,0,0,0,0,0,0,1,468,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,30.0,0.0,0.005,0.002
0.0,False,10000000,bb84-decoy,BB84DecoyProtocol,231798,66093,0.0066093,7100768.934142,0.0,0.0,1.591e-05,0,115641,116157,0.0361262172,0.0075271053,0.0,0.0,0.0,0.0,0,23180,0.0,1.0,OK,7.7303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462399,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,0.0,0.0,0.005,0.005
15.0,False,10000000,bb84-decoy,BB84DecoyProtocol,118068,30707,0.0030707,3655851.421332,0.0,0.0,3.124e-05,0,59272,58796,0.0184251948,0.003767948,0.0,0.0,0.0,0.0,0,11807,3.0,0.501187233627,OK,7.3329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236298,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,3.0,0.0,0.005,0.005
45.0,False,10000000,bb84-decoy,BB84DecoyProtocol,30049,6425,0.0006425,937554.855239,0.0,0.0,0.00012275,0,15141,14908,0.004688966,0.0009565885,0.0,0.0,0.0,0.0,0,3005,9.0,0.125892541179,OK,6.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59980,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,9.0,0.0,0.005,0.002
60.0,False,10000000,bb84-decoy,BB84DecoyProtocol,14962,1833,0.0001833,471544.43659,0.0,0.0,0.00024652,0,7391,7571,0.0023370821,0.0004686432,0.0,0.0,0.0,0.0,0,1496,12.0,0.063095734448,OK,6.8555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30118,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,12.0,0.0,0.005,0.002
75.0,False,10000000,bb84-decoy,BB84DecoyProtocol,7674,756,7.56e-05,236749.698801,0.0,0.0,0.00048058,0,3785,3889,0.0011939796,0.0002536734,0.0,0.0,0.0,0.0,0,767,15.0,0.031622776602,OK,8.7435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15296,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,15.0,0.0,0.005,0.002
